test,t,set_L,set_R,vel_L,vel_R
stop,10.3367,0.0,0.0,0.0,0.0
stop,10.358,0.0,0.0,0.0,0.0
stop,10.3787,0.0,0.0,0.0,0.0
stop,10.3992,0.0,0.0,0.0,0.0
stop,10.4205,0.0,0.0,0.0,0.0
stop,10.4412,0.0,0.0,0.0,0.0
stop,10.4616,0.0,0.0,0.0,0.0
stop,10.4829,0.0,0.0,0.0,0.0
stop,10.5035,0.0,0.0,0.0,0.0
stop,10.5241,0.0,0.0,0.0,0.0
stop,10.5455,0.0,0.0,0.0,0.0
stop,10.5662,0.0,0.0,0.0,0.0
stop,10.5867,0.0,0.0,0.0,0.0
stop,10.6084,0.0,0.0,0.0,0.0
stop,10.6292,0.0,0.0,0.0,0.0
stop,10.6497,0.0,0.0,0.0,0.0
stop,10.671,0.0,0.0,0.0,0.0
stop,10.6917,0.0,0.0,0.0,0.0
stop,10.7122,0.0,0.0,0.0,0.0
stop,10.7335,0.0,0.0,0.0,0.0
stop,10.7542,0.0,0.0,0.0,0.0
stop,10.7746,0.0,0.0,0.0,0.0
stop,10.7959,0.0,0.0,0.0,0.0
stop,10.8166,0.0,0.0,0.0,0.0
stop,10.8371,0.0,0.0,0.0,0.0
stop,10.8584,0.0,0.0,0.0,0.0
stop,10.8792,0.0,0.0,0.0,0.0
stop,10.8997,0.0,0.0,0.0,0.0
stop,10.921,0.0,0.0,0.0,0.0
stop,10.942,0.0,0.0,0.0,0.0
stop,10.9627,0.0,0.0,0.0,0.0
stop,10.9844,0.0,0.0,0.0,0.0
stop,11.0052,0.0,0.0,0.0,0.0
turn_left,11.5267,0.3,-0.3,0.0,0.0
turn_left,11.5483,0.3,-0.3,0.0,0.0
turn_left,11.569,0.3,-0.3,0.0,0.0
turn_left,11.5901,0.3,-0.3,0.0,0.0
turn_left,11.6117,0.3,-0.3,0.0,0.0
turn_left,11.6324,0.3,-0.3,0.0,0.0
turn_left,11.6529,0.3,-0.3,0.0,0.0
turn_left,11.6743,0.3,-0.3,0.0,0.0
turn_left,11.695,0.3,-0.3,0.0,0.0
turn_left,11.7155,0.3,-0.3,0.0,0.0
turn_left,11.7368,0.3,-0.3,0.0,0.0
turn_left,11.7575,0.3,-0.3,0.0,0.0
turn_left,11.7779,0.3,-0.3,0.0,0.0
turn_left,11.7993,0.3,-0.3,0.0,0.0
turn_left,11.82,0.3,-0.3,0.0,-0.3497
turn_left,11.8405,0.3,-0.3,0.0,-0.3497
turn_left,11.8617,0.3,-0.3,0.3176,-0.3497
turn_left,11.8824,0.3,-0.3,0.3176,-0.351
turn_left,11.9029,0.3,-0.3,0.3176,-0.351
turn_left,11.9242,0.3,-0.3,0.0,-0.351
turn_left,11.9448,0.3,-0.3,0.0,-0.3491
turn_left,11.9653,0.3,-0.3,0.0,-0.3491
turn_left,11.9866,0.3,-0.3,0.3209,-0.3491
turn_left,12.0072,0.3,-0.3,0.3209,-0.3496
turn_left,12.0278,0.3,-0.3,0.3209,-0.3496
turn_left,12.0491,0.3,-0.3,0.3204,-0.3496
turn_left,12.0698,0.3,-0.3,0.3204,0.0
turn_left,12.0902,0.3,-0.3,0.3204,0.0
turn_left,12.1116,0.3,-0.3,0.699,0.0
turn_left,12.1323,0.3,-0.3,0.699,-0.3809
turn_left,12.1528,0.3,-0.3,0.699,-0.3809
turn_left,12.1742,0.3,-0.3,0.0,-0.3809
turn_left,12.1949,0.3,-0.3,0.0,-0.701
turn_left,12.2154,0.3,-0.3,0.0,-0.701
turn_left,12.2368,0.3,-0.3,0.3504,-0.701
turn_left,12.2576,0.3,-0.3,0.3504,0.0
turn_left,12.2782,0.3,-0.3,0.3504,0.0
turn_left,12.2997,0.3,-0.3,0.3213,0.0
turn_left,12.3205,0.3,-0.3,0.3213,-0.3496
turn_left,12.3409,0.3,-0.3,0.3213,-0.3496
turn_left,12.3624,0.3,-0.3,0.3494,-0.3496
turn_left,12.3831,0.3,-0.3,0.3494,-0.6487
turn_left,12.4037,0.3,-0.3,0.3494,-0.6487
turn_left,12.4251,0.3,-0.3,0.321,-0.6487
turn_left,12.4457,0.3,-0.3,0.321,-0.3504
turn_left,12.4662,0.3,-0.3,0.321,-0.3504
turn_left,12.4876,0.3,-0.3,0.0,-0.3504
turn_left,12.5082,0.3,-0.3,0.0,-0.3497
